long,lat,fips
-1636651.96609271,-1082426.16067485,06059
-1768808.01461025,-437205.376340719,06061
-1753360.63942102,-332398.902908935,06063
-1475110.60961175,-1109979.04384943,06065
-1836413.07655447,-490180.103962335,06067
-1861413.4843097,-697129.489151713,06069
-1470907.39333111,-986813.303228431,06071
-1556348.80284902,-1174660.87962323,06073
-1947366.45615143,-540947.595960576,06075
-1844257.89015,-547879.545748303,06077
-1833813.86250799,-843997.154343601,06079
-1947065.23236338,-579285.00401721,06081
-1816183.45679199,-924415.817633639,06083
-1898724.59906712,-614693.180584406,06085
-1929779.37381522,-626576.164788106,06087
-1830031.0729375,-223556.889101541,06089
-1738371.48475884,-385506.676981373,06091
-1846068.68269724,-122517.86700521,06093
-1890978.27964929,-496638.516438802,06095
-1962900.88585577,-446386.448598708,06097
-1830772.69502012,-594799.101316387,06099
-1849957.6391958,-419007.191650625,06101
-1864099.49246733,-288248.618322052,06103
-1919902.21553229,-211487.425623027,06105
-1674267.67589225,-786827.997947751,06107
-1730308.8806995,-566292.431786683,06109
-1738080.71065368,-971934.258300771,06111
-1876749.2235396,-452433.810660936,06113
-1815610.89582905,-401778.533270971,06115
-370214.847318198,-559976.671855896,08001
-510728.322911345,-807639.795812648,08003
-371368.25474119,-584881.004629963,08005
-624782.264320277,-840926.064810163,08007
-226868.859294593,-849921.820602983,08009
-269778.202962629,-777950.329450929,08011
-455514.12492985,-530701.743774089,08013
-431066.623649695,-547079.200333323,08014
-537203.830245985,-674945.849529824,08015
-225787.849179437,-682370.863645114,08017
-483189.572598666,-573921.273988856,08019
-549040.132240555,-846156.445264259,08021
-480926.923018286,-842520.470982159,08023
-330550.075460155,-734186.477895804,08025
-470139.226104909,-750651.482617481,08027
-680542.491670662,-649906.87237368,08029
-416660.263398038,-570186.929307061,08031
-749051.940119211,-767117.110282716,08033
-424242.655509542,-617478.343359798,08035
-573077.480899273,-574024.038507198,08037
-356164.690137798,-626138.014861076,08039
-392279.727069408,-674772.689425087,08041
-473917.250151878,-709788.538846318,08043
-676622.585294419,-567884.26455245,08045
-471668.50806312,-556005.899825836,08047
-520171.310679627,-524784.679497936,08049
-610588.188307286,-678165.660936307,08051
-641486.972600119,-769589.389242962,08053
-437143.963172194,-799896.432407028,08055
-534510.594060728,-461292.468816148,08057
-450192.453153366,-587549.229580155,08059
-238920.546449935,-725810.278483754,08061
-224125.67109076,-629436.683777984,08063
-547681.331423758,-623387.080548897,08065
-694195.140669939,-824562.221213741,08067
-460616.625778086,-466466.334059239,08069
-357728.173172575,-845113.25785353,08071
-304046.457937727,-661931.947605054,08073
-262244.102770523,-470297.644139974,08075
-731245.316847402,-627542.0832179,08077
-610176.022158141,-789291.604499465,08079
-691798.519119481,-452616.343369418,08081
-760015.195941003,-812227.107870168,08083
-719881.580470878,-697397.195467098,08085
-323361.264483358,-519155.230047008,08087
-326661.654412151,-781548.119370281,08089
-679234.79075212,-729910.307995516,08091
-493447.988269422,-636499.280307861,08093
-199189.143895781,-486911.428533757,08095
-596981.816868697,-617797.365499638,08097
-210133.753025171,-779800.79801971,08099
-394932.630508427,-747917.011048759,08101
-699519.777552441,-523219.089811488,08103
-563108.50153511,-802560.808155384,08105
-590748.698502352,-476894.906063398,08107
-550191.81568546,-748179.684863123,08109
-674971.391225315,-773221.634597412,08111
-735975.010255811,-740227.215638044,08113
-197834.913155457,-455623.013472329,08115
-523590.623192097,-576714.465963605,08117
-447050.152021591,-666191.489078491,08119
-273123.118533578,-553873.317917732,08121
-371298.666325185,-484308.661953248,08123
-206784.931128378,-552422.828412933,08125
2177071.35595818,-56818.4520241038,09001
2209408.74712744,18145.6231719393,09003
2169967.80224745,3267.51493174179,09005
2236646.28595086,-13189.9771645131,09007
2207465.54440147,-29616.0929959535,09009
2269099.76311405,1989.64480882615,09011
2238263.29036961,35087.9389240235,09013
2266155.05008663,41734.5594004879,09015
2073739.31172413,-348079.352860879,10001
2052695.91316033,-296672.319671572,10003
2101450.21068095,-389370.695456143,10005
1960213.04706971,-403256.083210052,11001
1705129.22667013,-1524115.14341223,12001
1699626.78187019,-1451521.49881813,12003
1384599.91408252,-1518393.57480296,12005
1718195.42574017,-1490603.70609714,12007
1888034.67298321,-1641185.71939881,12009
1954678.24746665,-1868505.12567588,12011
1422952.71852002,-1495979.69889191,12013
1798955.75220596,-1817990.18954018,12015
1709679.36177418,-1617007.66746795,12017
1746887.31239424,-1480834.44422074,12019
1870978.51447824,-1891719.06908555,12021
1669832.57692442,-1469672.21655029,12023
1805339.84335078,-1784460.67336164,12027
1630533.81727819,-1547435.78537571,12029
1757502.97063562,-1438971.86419658,12031
1211815.40685431,-1499755.5784855,12033
1808617.12924694,-1526766.70851818,12035
1467158.47913126,-1552062.67107344,12037
1474598.93303233,-1467547.6739945,12039
1662403.46017441,-1527256.80536839,12041
1870143.76745416,-1796475.76208139,12043
1425934.58965325,-1548376.81255189,12045
1633727.89956768,-1446262.29884046,12047
1799544.22017329,-1751142.56660615,12049
1880403.22031337,-1839687.61820315,12051
1719897.98172258,-1648115.90858439,12053
1847996.82818205,-1757725.46839758,12055
1741866.78383819,-1714211.35412546,12057
